vaalipiiri;id;puolue;sukupuoli;toimin tällä hetkellä kansanedustajana;valittu;koulutus;vuositulot;suomessa on liian helppo elää sosiaaliturvan varassa;kaupan ja muiden liikkeiden aukioloajat on vapautettava;suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason;työntekijälle on turvattava lailla minimityöaika;ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää;euron ulkopuolella suomi pärjäisi paremmin;ruoan verotusta on varaa kiristää;valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja;lapsilisiä on korotettava ja laitettava verolle;suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin;nato-jäsenyys vahvistaisi suomen turvallisuuspoliittista asemaa;suomeen tarvitaan enemmän poliiseja;maahanmuuttoa suomeen on rajoitettava terrorismin uhan vuoksi;venäjän etupiiripolitiikka on uhka suomelle;verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja;suomen on osallistuttava isisin vastaiseen taisteluun kouluttamalla irakin hallituksen joukkoja;parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan;terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina;viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin;vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä;kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto;ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle;geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle;suomen pitää ottaa suurempi vastuu eu:n alueelle tulevista turvapaikanhakijoista;on aika luopua ajatuksesta, että koko suomi on pidettävä asuttuna;peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen
11;4659;5;0;0;0;1;0;4;4;4;4;2;4;1;4;4;2;2;4;4;4;4;2;3;4;4;4;4;2;2;1;1;4
09;5604;2;0;0;0;0;0;2;4;2;5;1;2;1;2;4;1;4;5;2;5;4;4;5;5;2;2;5;2;2;2;1;4
11;5528;2;0;1;1;1;1;1;1;2;5;1;1;1;1;4;1;1;2;1;2;2;4;4;5;5;1;5;5;1;4;1;5
02;4345;6;1;0;0;0;0;4;5;2;2;4;4;1;4;2;4;2;4;4;4;4;2;4;4;4;2;4;4;4;2;2;2
01;5678;5;0;0;0;0;0;2;1;2;5;2;4;1;2;2;2;1;4;2;1;4;2;1;5;3;2;2;2;1;1;2;2
04;5854;5;1;0;0;0;0;2;2;2;4;1;4;1;4;4;2;1;5;5;2;5;5;4;4;5;2;4;1;1;1;1;4
12;4299;9;1;0;0;0;0;4;5;1;1;5;1;1;4;2;4;5;5;2;5;4;2;5;1;4;2;5;2;4;2;1;1
01;5277;7;1;0;0;1;1;2;2;4;5;2;2;1;2;2;4;1;4;1;2;4;5;4;4;4;2;5;4;2;4;2;4
09;5092;7;0;0;0;1;0;4;4;4;2;4;2;1;4;2;2;2;4;4;4;4;2;5;5;4;2;4;2;2;1;1;2
11;5139;1;0;0;0;1;0;1;2;5;5;1;4;1;1;4;1;1;2;1;4;1;4;4;5;4;1;5;5;2;5;4;4
11;4987;2;0;0;0;1;0;1;2;1;5;1;1;1;2;2;1;1;4;1;2;2;4;5;5;5;4;5;4;4;5;4;4
12;6099;6;0;0;0;1;0;4;1;1;2;4;5;1;2;2;4;1;2;5;4;5;2;1;5;5;2;5;4;1;2;1;4
02;5547;3;0;0;0;1;0;1;4;5;2;4;2;2;1;2;2;2;4;1;4;1;4;5;4;4;2;5;5;2;4;4;4
02;5424;1;1;0;0;1;0;1;4;5;5;2;3;1;1;4;1;1;2;1;4;2;2;5;5;4;1;5;5;4;5;4;4
08;4519;9;1;0;0;1;0;2;4;2;2;4;1;4;4;2;4;4;4;1;1;4;2;5;1;2;4;5;2;5;4;1;2
01;5078;5;1;0;0;1;0;2;5;1;5;1;5;1;5;2;4;5;5;5;5;2;4;5;5;4;1;4;2;3;1;2;2
02;4409;1;0;0;0;0;0;1;2;5;5;1;2;1;1;1;1;1;4;2;2;4;1;3;4;4;2;5;4;1;4;1;2
07;5992;1;1;0;0;0;0;2;2;5;4;1;2;1;1;2;1;1;4;1;2;2;2;5;5;4;1;5;2;2;5;1;5
02;5024;0;1;0;0;1;0;5;5;5;5;3;4;2;4;3;1;5;1;5;4;5;5;5;2;5;1;5;2;1;1;1;4
08;5837;9;1;0;1;1;0;5;5;1;2;5;2;1;5;2;5;5;5;4;5;5;4;5;2;4;4;4;1;4;2;2;2
10;4652;6;0;0;0;0;0;2;2;2;2;1;1;1;2;1;1;2;5;2;2;4;1;1;2;5;2;4;4;1;5;1;4
03;4908;2;0;0;0;0;0;1;1;1;3;1;1;1;2;5;2;3;5;3;3;3;3;3;5;5;1;3;3;3;3;3;3
12;4897;4;1;0;0;0;0;4;5;5;1;5;5;1;1;4;1;1;5;5;1;2;1;5;5;4;2;5;5;1;1;1;5
01;5605;0;1;0;0;0;0;1;2;5;4;1;4;2;1;1;1;1;2;2;2;2;3;4;5;4;2;2;5;2;4;3;5
03;5320;4;1;0;0;0;0;1;4;5;4;1;5;1;1;1;5;1;1;1;2;1;1;5;4;2;1;4;4;1;2;1;4
11;4399;2;1;0;0;0;0;2;2;2;5;2;2;2;2;4;2;2;4;4;4;2;2;4;4;4;2;4;4;2;2;4;4
11;5602;0;1;0;0;1;0;2;5;5;1;2;2;1;4;2;4;5;2;1;5;1;4;5;2;2;4;1;4;5;2;4;2
06;4282;9;0;0;0;1;0;4;5;2;2;4;2;2;5;1;4;4;5;2;4;4;5;5;2;4;2;5;4;4;1;4;2
08;5821;1;1;0;0;1;0;1;2;5;5;1;2;1;1;2;1;1;4;1;4;1;4;5;5;4;1;4;4;2;5;4;5
10;4726;3;1;0;0;0;0;1;4;5;2;2;2;2;1;4;4;1;4;1;2;1;2;5;5;5;2;4;5;4;5;2;2
12;4437;9;1;0;0;1;0;2;5;2;2;4;2;2;2;4;4;5;5;4;5;5;2;4;4;5;2;5;4;4;2;1;2
12;4407;1;0;1;1;0;0;1;1;5;5;1;2;1;1;4;1;1;4;1;1;2;1;4;5;5;1;4;5;2;5;1;5
13;5836;3;0;0;0;0;0;2;5;5;1;1;2;2;4;2;4;3;4;1;3;2;2;5;2;5;3;5;5;1;5;1;4
08;5268;6;0;0;0;1;0;4;3;4;2;3;2;2;4;2;4;4;4;4;4;4;3;1;4;4;2;3;2;1;3;1;2
09;4808;3;1;0;0;1;0;2;4;5;4;2;2;1;2;4;2;2;4;1;4;4;4;4;4;4;2;4;4;2;4;2;2
11;4690;2;1;1;1;0;1;1;2;2;4;2;1;2;2;5;2;2;4;2;2;2;1;2;5;4;2;4;4;2;4;2;4
06;4872;6;1;0;0;0;0;4;1;2;4;4;2;2;5;2;5;5;4;4;5;5;5;2;4;5;2;5;4;1;4;5;5
12;5398;2;0;0;0;1;0;4;4;2;4;2;2;1;2;2;2;1;4;4;2;2;1;4;5;5;1;4;4;1;2;2;4
11;5589;7;0;0;0;1;1;4;4;4;2;2;2;2;2;4;4;2;2;2;4;4;3;4;2;4;3;3;4;2;4;2;4
02;6167;4;1;0;0;0;0;1;4;5;5;1;5;1;1;4;1;1;4;2;1;2;1;4;5;2;2;4;5;1;2;1;2
09;4733;2;1;0;0;1;0;4;4;1;2;2;1;1;4;1;5;1;1;1;1;1;1;1;5;1;4;1;2;1;1;1;1
03;5189;7;1;0;0;1;0;2;4;4;4;4;2;1;2;1;2;2;2;2;5;4;4;4;2;4;2;2;4;2;2;1;2
09;4402;3;0;0;0;1;0;2;5;5;4;2;1;2;4;2;2;4;4;1;4;2;1;4;4;5;2;5;4;2;4;2;4
13;4986;1;0;0;0;0;0;2;2;4;4;1;2;1;2;3;2;1;4;2;2;2;2;4;5;2;2;4;2;2;4;2;2
06;4336;5;1;0;0;0;0;4;5;2;4;4;4;1;5;2;4;1;5;4;1;2;2;2;4;4;2;2;2;1;1;1;2
04;4434;2;1;0;0;0;0;2;4;2;5;1;2;1;2;2;2;2;2;2;2;1;4;4;4;2;2;4;4;2;4;4;4
03;5533;3;0;0;0;1;0;2;2;5;2;1;1;2;2;4;1;1;2;1;2;2;2;4;4;5;2;4;5;2;5;4;4
01;6267;0;0;0;0;0;0;1;5;5;4;3;2;1;4;2;1;1;4;1;2;1;1;5;5;2;1;5;4;5;5;4;5
12;5806;5;1;1;1;0;0;2;5;4;2;4;5;1;5;4;2;2;4;5;2;2;4;4;4;2;4;4;2;2;1;2;2
01;6268;0;0;0;0;0;0;1;5;5;1;1;4;1;2;4;1;1;5;1;1;1;1;5;5;4;1;5;4;5;1;4;5
10;5001;8;1;0;0;0;0;5;2;4;1;3;1;1;5;2;4;5;2;1;4;1;1;4;3;4;1;5;4;2;5;1;2
02;4481;4;1;0;0;0;0;2;2;5;5;1;5;1;2;1;1;1;4;4;1;2;1;5;5;4;1;2;4;1;1;1;5
10;4484;1;1;0;0;0;0;1;1;5;5;1;2;1;1;2;1;1;4;1;2;1;1;5;5;5;1;4;4;1;4;1;4
07;4454;1;0;0;0;0;0;1;1;4;5;1;4;1;2;4;1;1;2;1;2;2;2;4;5;4;1;5;5;1;2;1;4
07;5667;0;1;0;0;0;0;2;5;5;2;4;4;1;5;2;4;2;2;1;4;1;3;5;4;3;2;4;5;4;4;5;2
11;5114;5;1;0;0;0;0;2;5;4;5;1;4;1;5;5;4;1;4;5;1;4;1;4;5;4;2;5;2;3;1;1;1
06;4379;9;1;0;0;1;1;4;5;2;1;1;1;1;5;1;5;5;1;1;5;5;1;4;2;5;5;5;4;2;1;5;1
04;4177;5;1;1;1;0;0;2;4;4;2;2;4;1;4;4;4;2;5;5;4;4;2;4;4;4;2;4;1;2;1;1;2
03;4485;0;1;0;0;0;0;1;2;4;5;1;5;1;1;1;1;1;2;1;1;1;1;5;5;4;1;1;5;1;5;1;5
04;4985;7;1;0;0;1;0;2;4;4;2;2;2;1;4;4;2;1;4;2;2;2;1;2;5;2;2;4;2;2;2;2;4
01;4772;2;1;0;0;1;0;2;2;1;5;1;2;1;2;2;2;1;5;2;2;2;5;2;5;5;1;4;4;4;2;4;5
05;6139;0;0;0;0;1;0;2;2;3;2;4;4;2;4;4;4;4;4;1;4;2;4;4;4;4;2;5;4;2;5;3;4
01;4605;8;1;0;0;1;0;2;5;4;2;4;1;2;5;2;4;5;5;2;5;4;4;4;4;4;2;5;2;2;4;1;2
07;6001;9;0;0;0;1;0;2;5;4;4;4;2;1;4;1;4;2;5;4;2;2;2;1;1;5;4;4;4;1;2;1;4
01;4870;0;0;0;0;1;0;4;5;4;2;4;2;1;5;2;4;2;2;1;4;1;4;5;5;4;4;5;2;4;2;4;1
12;5768;7;0;0;1;1;0;4;2;4;4;2;2;1;2;4;2;1;4;4;2;4;4;1;4;4;4;2;4;2;2;1;4
07;5778;9;1;1;1;1;1;5;5;4;2;4;1;5;5;1;2;5;4;2;5;4;4;5;1;4;2;4;2;2;2;4;2
02;4990;8;1;0;0;1;0;2;4;2;4;2;1;1;4;1;2;4;4;2;4;4;5;1;4;2;1;5;2;4;4;2;2
02;5402;3;0;0;0;1;0;4;4;4;2;4;4;1;2;4;4;4;5;2;2;4;4;5;4;4;4;5;4;2;2;2;2
06;4383;9;1;1;1;0;1;5;5;2;2;5;2;2;5;2;4;4;5;2;2;4;2;5;4;2;4;5;2;4;1;2;2
06;4518;3;0;0;0;1;0;2;4;5;5;2;2;2;2;4;2;2;4;2;4;4;2;5;5;4;4;4;5;1;4;2;5
01;4889;1;1;0;0;0;0;1;2;5;5;1;2;1;2;1;1;1;4;1;2;1;1;5;5;4;1;1;5;2;5;2;5
09;5229;3;1;0;0;1;0;2;2;5;4;2;1;1;4;2;2;2;4;2;4;5;4;5;4;5;2;4;5;1;4;2;2
12;4381;8;0;0;0;0;0;4;4;2;4;1;1;1;2;1;4;1;5;2;4;1;1;5;5;5;1;4;2;1;4;1;5
12;6168;4;1;0;0;0;0;2;2;5;2;4;5;1;4;1;1;1;4;4;1;4;1;4;5;4;2;2;4;1;1;1;5
09;4877;1;1;0;0;0;1;1;1;4;5;1;1;1;2;2;1;1;4;1;2;2;1;4;5;4;1;5;4;2;2;1;4
01;5180;8;0;0;0;1;0;4;4;4;4;4;1;1;4;2;2;5;4;1;4;4;4;3;2;5;4;4;4;2;5;2;4
03;5745;5;1;0;0;0;0;2;4;4;4;1;4;1;4;2;2;2;5;5;4;2;1;4;4;4;1;4;1;2;1;1;4
13;6135;9;1;0;0;1;0;4;4;2;2;4;1;2;4;1;4;5;4;2;4;4;4;4;2;2;2;5;1;4;2;2;4
12;5620;9;1;0;0;1;0;2;5;3;3;2;1;1;4;2;2;4;4;5;4;3;1;5;4;5;4;3;2;2;3;2;5
13;4222;5;1;0;0;0;0;1;5;5;5;1;5;1;5;4;1;1;5;1;1;5;5;1;5;5;1;5;1;2;2;1;5
13;5237;3;0;0;0;1;0;3;2;5;5;4;3;4;4;3;2;1;4;2;4;3;2;5;4;5;4;4;5;2;3;4;5
04;4206;6;0;0;0;1;1;2;1;4;2;5;4;1;4;2;2;4;4;2;4;4;4;1;4;5;2;4;4;4;2;1;4
12;6093;0;1;0;0;0;0;1;4;5;5;1;5;1;2;4;1;1;2;2;1;1;1;5;5;5;2;4;4;1;4;1;5
02;4681;5;0;1;0;0;0;2;2;4;5;2;4;1;4;4;4;2;5;4;2;5;2;2;4;5;1;4;2;1;1;2;4
13;5481;2;1;0;0;0;0;2;2;4;5;1;1;1;5;5;4;2;5;5;2;1;3;4;5;5;1;5;4;2;2;1;4
07;4719;6;1;0;0;0;0;2;2;2;2;4;2;1;5;5;4;4;5;4;4;5;2;1;5;5;2;5;4;2;2;2;4
02;5059;3;1;0;0;1;0;2;4;5;2;4;2;2;2;5;2;2;2;1;4;2;5;5;5;4;4;5;5;2;4;4;2
01;5662;5;0;0;0;0;0;2;5;5;2;4;4;1;4;4;5;2;5;4;2;5;2;5;5;5;4;4;2;4;1;5;2
13;6163;8;1;0;0;0;0;2;4;2;4;2;2;1;2;2;2;4;4;2;2;2;2;4;4;2;2;4;5;2;2;1;4
01;4363;3;0;0;0;1;1;1;2;5;5;2;1;2;2;4;2;1;2;1;2;2;2;4;4;4;2;5;5;3;5;4;2
02;4317;5;0;1;1;1;1;2;2;4;4;1;5;1;5;1;1;1;5;5;5;5;3;5;4;5;1;4;5;1;1;1;5
07;6000;9;1;0;0;1;0;2;5;4;1;4;2;1;4;2;5;5;4;1;5;4;4;4;2;4;4;5;4;2;1;4;2
02;4285;0;1;0;0;1;0;4;5;4;2;4;4;1;4;2;2;2;2;5;2;2;2;4;5;4;4;4;2;2;1;4;4
08;4945;2;1;0;0;0;0;2;2;1;5;1;2;1;2;2;1;1;5;1;2;4;4;4;5;4;1;4;4;1;4;2;4
04;4714;5;1;0;0;0;0;4;5;4;2;2;5;1;4;4;1;4;5;5;4;5;3;5;4;4;2;5;2;3;1;2;5
02;4520;6;0;0;0;1;1;4;2;2;2;4;4;2;4;2;2;4;4;2;4;4;2;1;4;5;2;4;2;2;2;2;2
04;4866;9;1;0;0;1;1;4;5;2;2;4;1;1;5;2;4;5;4;2;5;4;5;4;2;4;4;4;2;4;4;2;4
02;4728;0;1;0;0;0;0;4;5;5;5;1;5;1;5;1;5;1;5;5;5;5;1;1;1;1;5;5;5;1;1;5;5
10;5493;0;1;0;0;1;0;4;4;1;2;4;4;2;4;4;4;2;4;5;2;4;4;5;4;4;2;4;2;2;1;1;2
11;4926;1;1;0;0;0;0;2;4;5;5;1;2;1;1;4;1;1;4;1;1;1;1;4;5;5;1;3;2;1;5;1;5
09;4432;1;0;0;0;1;0;2;2;5;5;1;2;1;1;5;1;1;1;1;2;1;4;5;5;5;1;4;5;2;5;1;5
07;5437;2;1;0;0;0;0;2;1;2;5;1;2;1;2;4;1;1;4;3;2;1;1;4;5;2;1;4;2;4;3;2;2
08;4204;3;0;0;1;1;0;2;4;5;4;2;1;2;2;2;1;1;2;1;2;2;2;4;4;4;2;2;4;2;2;2;4
03;4854;2;1;0;0;0;0;4;4;4;5;2;4;1;2;2;1;2;5;1;2;4;2;5;5;4;2;5;5;1;4;1;5
01;4281;2;1;0;0;0;0;2;2;4;4;2;2;1;2;2;2;2;4;2;2;4;2;4;5;4;2;4;4;4;4;5;2
08;5544;4;1;0;0;0;0;2;4;5;4;4;5;1;1;1;1;1;4;2;1;1;1;4;4;2;2;4;4;1;2;2;4
07;5167;0;0;0;0;0;0;5;4;4;5;2;1;1;5;2;4;4;5;2;5;5;1;5;5;5;1;5;4;1;2;5;4
02;5413;1;1;0;0;0;0;2;2;4;5;1;3;1;2;5;2;1;5;2;2;4;2;5;5;5;1;5;5;1;4;2;5
02;4183;6;1;1;0;1;1;2;1;2;4;2;2;2;2;2;2;2;2;2;5;4;4;1;4;5;2;4;4;2;2;2;2
02;4961;5;1;1;0;1;1;3;2;4;4;3;5;1;3;4;2;2;4;2;4;4;3;3;4;5;2;4;2;1;1;2;3
02;4984;0;0;0;0;1;0;4;5;5;4;2;5;1;4;4;4;4;4;5;4;4;1;4;4;4;2;4;2;1;1;1;5
08;6010;6;1;0;0;1;0;4;4;4;2;5;2;1;4;2;5;5;4;1;5;4;1;1;2;2;2;2;1;2;2;4;2
12;4516;3;0;0;0;1;0;2;4;5;4;2;2;1;4;4;1;2;2;1;2;4;4;5;4;5;2;5;5;2;4;4;4
10;4350;0;1;0;0;1;0;2;5;5;5;1;4;1;5;2;1;5;2;5;1;1;1;4;1;4;4;5;4;2;1;2;5
04;5813;0;1;0;0;0;0;1;1;4;5;1;5;1;1;2;1;1;4;2;1;1;1;5;5;4;1;5;5;1;4;1;4
03;5477;0;1;0;0;0;0;2;5;5;4;2;4;2;2;4;1;1;4;1;4;1;1;5;5;3;2;4;5;1;5;4;4
06;4582;6;0;0;0;1;0;4;4;4;2;4;2;2;2;1;2;2;4;1;2;4;1;2;4;4;4;4;2;2;4;2;4
08;4587;4;1;0;0;0;0;4;2;2;2;4;5;2;4;2;4;1;4;4;5;5;5;2;5;5;2;4;4;1;2;1;2
02;5747;7;1;1;1;1;1;4;4;4;2;4;2;2;4;4;4;2;5;4;4;4;4;5;4;4;2;5;4;2;2;2;4
11;4205;0;0;0;0;0;0;1;2;5;5;1;5;1;1;4;1;1;2;1;4;1;1;4;5;2;1;4;5;1;5;2;5
12;6097;1;0;0;0;1;0;1;2;5;5;1;4;1;1;2;1;1;4;2;2;2;1;5;4;4;1;1;5;2;4;5;4
02;5363;9;1;0;0;1;0;3;5;3;3;4;1;1;3;2;3;4;4;2;4;2;4;3;4;4;1;4;3;3;2;4;4
12;5051;9;1;0;0;0;0;5;5;2;2;5;1;1;5;1;4;5;4;2;4;4;3;4;1;4;2;5;3;1;2;2;2
02;5407;4;1;0;0;0;0;4;5;5;1;2;5;2;5;1;2;1;4;4;1;2;1;5;4;4;2;4;4;2;1;1;1
07;5706;3;0;0;0;1;1;2;4;5;5;4;2;2;2;4;1;1;4;1;2;2;4;5;4;4;4;5;5;1;5;4;5
02;4928;9;1;0;0;1;0;2;4;4;2;4;2;1;4;2;4;5;4;4;5;4;4;4;2;2;2;4;2;4;2;2;2
07;5995;2;1;0;0;0;0;2;4;2;5;1;1;2;1;5;1;2;4;2;2;4;4;1;5;4;2;4;4;2;2;1;4
07;4554;5;1;0;0;1;0;4;2;2;4;2;5;1;4;2;2;2;5;4;2;2;1;3;2;2;2;2;1;1;1;1;4
03;4266;2;0;0;0;1;0;1;2;2;5;2;1;1;4;2;1;2;5;2;2;4;2;2;5;4;2;4;4;2;2;2;2
03;4169;1;1;0;0;0;0;4;4;5;5;1;4;1;2;2;2;2;5;4;2;4;1;5;5;5;1;4;2;1;2;1;5
09;4149;0;1;0;0;0;0;1;1;4;5;1;5;1;1;4;1;1;4;1;1;2;2;5;5;4;1;4;5;1;5;1;5
06;4553;7;1;0;0;0;0;2;4;4;1;4;1;1;5;4;4;4;4;1;4;2;4;3;2;4;2;5;4;2;4;2;2
04;5730;1;1;0;0;1;0;1;2;5;5;1;4;1;1;1;1;1;2;2;4;1;3;4;5;3;1;4;5;1;4;1;5
07;5445;0;1;0;0;0;0;2;5;5;4;1;2;1;5;4;3;4;5;2;3;2;3;5;4;3;2;5;4;1;3;4;3
12;4931;1;1;1;0;1;0;2;2;4;5;1;2;1;2;4;1;1;4;2;2;3;5;4;5;4;1;4;3;2;4;1;4
10;4215;9;1;0;0;1;1;2;2;1;2;4;2;2;5;2;2;4;4;2;4;4;4;1;5;4;2;5;4;4;4;2;2
03;5942;7;1;0;0;0;0;4;2;4;4;4;4;5;4;2;2;1;4;4;2;4;1;2;4;4;2;1;2;1;2;1;2
11;5227;7;0;1;1;1;1;4;4;4;5;4;4;2;4;4;2;2;4;4;4;4;1;4;4;4;4;4;2;2;2;1;4
02;5475;6;1;0;0;1;0;2;4;2;2;4;4;2;4;2;4;4;4;2;4;4;4;2;4;4;2;4;2;2;2;4;2
01;5417;7;1;0;0;1;0;1;2;5;5;1;4;2;1;2;1;1;1;1;2;1;1;1;4;2;1;2;5;1;5;1;1
10;6214;2;0;0;0;0;0;4;4;2;5;1;2;2;2;2;4;1;4;2;3;2;2;2;5;5;2;3;3;2;3;1;4
03;5921;9;1;1;1;1;1;4;4;4;2;4;1;1;5;4;2;4;5;2;4;4;5;2;4;5;2;4;2;4;2;2;2
02;5052;2;1;0;0;1;0;4;4;2;4;2;2;1;2;4;4;1;2;4;2;1;4;4;5;4;2;4;4;2;2;4;2
01;5864;5;1;0;0;1;0;4;5;4;2;4;2;1;5;4;4;4;3;2;5;4;4;4;4;4;2;5;4;4;4;4;2
08;4824;3;0;0;0;1;0;2;4;5;2;2;2;2;2;2;2;1;2;2;4;2;1;1;1;5;2;5;4;2;2;4;5
12;4466;4;1;0;0;0;0;2;4;5;5;1;5;1;4;1;1;1;1;5;1;1;1;5;5;5;1;5;1;1;1;1;4
04;5838;9;0;0;0;1;0;2;5;2;2;4;1;1;4;2;2;5;5;2;4;4;2;3;4;4;4;5;4;2;4;1;4
11;4859;5;1;0;1;1;0;2;4;4;2;2;5;1;2;2;2;2;5;5;4;4;4;2;4;4;2;4;2;2;1;2;2
11;5422;9;1;0;0;0;0;5;5;2;1;4;1;1;5;2;4;4;4;4;4;5;4;5;3;4;1;5;4;1;4;1;4
02;5890;8;1;0;0;0;0;4;1;1;3;4;1;2;2;3;4;4;4;4;4;4;5;2;2;4;4;4;2;3;4;2;3
04;5959;7;0;0;0;1;0;1;5;5;2;5;3;1;5;2;3;1;4;1;2;3;3;5;5;4;4;5;3;1;4;4;3
09;5069;7;0;0;0;0;1;2;4;5;5;1;1;1;2;4;1;1;5;4;4;5;1;1;5;5;1;4;5;1;1;1;4
12;4343;1;1;0;0;1;0;1;4;5;5;2;2;1;1;4;1;1;4;1;4;1;1;5;5;2;1;5;5;2;4;1;5
01;5866;1;1;0;0;1;0;1;1;5;5;2;4;1;1;3;1;1;3;1;4;1;4;5;5;5;2;5;5;1;5;1;4
01;4895;5;0;0;0;1;0;2;4;4;4;2;5;1;2;4;1;2;5;5;2;4;2;4;5;4;1;2;4;1;2;1;1
02;5855;7;1;0;0;0;0;2;4;4;4;2;3;1;2;2;2;2;4;3;4;3;4;3;5;2;1;4;3;2;2;3;4
03;4505;2;1;1;1;1;1;1;2;2;2;1;1;2;2;4;2;1;4;2;2;2;4;2;5;4;2;4;4;4;4;2;4
04;4930;7;1;0;0;1;0;2;1;4;4;1;2;1;4;5;1;2;4;2;2;4;3;1;5;5;2;4;4;1;4;2;4
02;5124;0;1;0;0;0;0;1;5;5;2;4;2;2;2;4;2;2;4;1;4;2;4;5;4;4;2;4;5;4;4;4;4
06;4535;4;1;0;0;1;0;4;2;2;4;4;5;2;2;1;4;1;5;2;4;2;1;4;4;4;2;5;4;1;1;1;1
02;4321;5;0;0;0;0;0;2;5;4;2;4;4;1;4;2;2;2;5;4;4;1;1;4;5;2;2;4;2;2;1;2;2
02;4934;1;1;0;0;0;0;1;2;5;5;1;2;1;1;2;1;1;5;1;2;1;1;4;5;4;1;2;4;1;5;2;5
01;4380;9;0;0;0;0;0;4;2;1;3;4;1;1;2;2;1;5;4;4;5;5;4;2;2;5;2;5;2;1;2;2;2
01;5708;3;0;0;1;1;0;1;4;5;5;2;1;1;1;5;1;1;2;1;4;1;2;5;5;5;1;5;5;1;5;4;4
06;5460;2;1;1;1;1;1;2;4;2;5;1;2;1;2;4;1;1;5;2;2;2;4;4;5;4;1;5;4;2;4;2;4
02;5418;3;0;1;1;1;1;2;1;5;2;4;2;1;2;2;2;1;5;2;4;4;4;4;4;5;2;5;4;2;4;1;4
02;5450;1;1;0;0;1;0;1;4;5;5;1;2;1;1;4;1;1;4;1;2;1;4;5;5;5;1;5;5;2;4;4;4
07;5444;2;1;0;0;1;0;4;5;4;4;4;1;2;5;1;5;4;4;4;5;4;5;5;4;5;2;5;2;3;2;5;2
02;5683;2;0;0;0;1;1;2;2;1;5;1;1;1;1;2;1;3;4;1;4;2;2;1;5;5;2;5;2;2;4;4;1
07;5574;3;0;0;0;1;0;2;4;4;4;2;2;2;4;2;2;4;4;4;4;4;1;4;5;4;2;4;4;2;2;2;4
10;5333;9;1;0;0;1;0;4;4;2;2;4;2;2;4;2;4;4;4;2;2;4;4;4;2;2;2;4;2;3;2;2;2
06;5140;2;1;0;0;0;0;2;4;2;5;1;1;2;2;2;4;2;5;4;2;2;1;4;4;4;4;4;4;2;2;2;2
02;4787;7;0;0;0;1;0;4;4;5;2;4;1;2;4;3;4;2;4;2;4;5;2;4;4;4;4;4;3;3;2;1;3
03;5106;7;0;0;0;1;0;4;4;4;5;4;2;2;2;2;2;2;4;4;4;2;1;5;5;5;4;5;5;1;2;1;4
12;4781;1;1;0;0;0;0;1;4;4;5;1;2;1;1;2;1;1;4;1;1;4;1;4;5;4;1;4;5;1;2;1;4
09;4487;1;0;0;0;0;0;1;4;5;5;1;2;1;1;2;1;1;4;1;2;4;1;4;5;5;1;5;4;2;4;1;5
02;4401;2;0;0;0;1;0;2;4;1;5;2;1;1;1;4;2;1;4;2;2;2;2;5;5;4;2;5;4;1;4;2;5
02;5910;0;1;0;0;0;0;2;5;5;3;3;2;3;2;3;2;2;4;1;3;1;2;5;4;3;2;4;2;4;2;4;2
03;4259;1;1;0;0;0;0;1;5;5;5;2;1;2;1;5;5;5;5;1;5;2;5;5;5;1;1;5;1;1;5;5;5
02;4677;8;1;0;0;1;0;4;5;4;4;2;1;1;2;2;4;1;4;2;5;2;4;1;2;4;1;2;2;1;4;5;5
04;4209;1;0;0;0;0;0;1;5;5;5;1;2;2;4;1;1;1;4;2;4;1;4;5;4;2;2;5;1;2;2;1;4
02;5062;0;1;0;0;0;0;3;5;5;1;3;3;1;3;2;2;2;3;1;2;1;3;5;2;2;3;2;4;3;2;2;4
07;5499;4;1;0;0;1;0;1;4;4;2;3;5;1;2;3;4;1;4;3;4;1;1;5;5;4;2;3;3;1;1;1;5
02;4246;0;1;0;0;1;0;2;4;2;5;2;4;1;5;2;5;2;5;5;4;2;1;2;4;5;4;4;4;1;1;2;2
12;4843;0;1;0;0;1;0;2;5;4;2;3;3;2;4;2;1;3;4;4;4;1;3;5;5;5;1;3;4;3;1;2;4
02;5704;3;1;0;1;1;1;2;5;5;5;2;1;1;2;5;2;4;2;1;5;1;5;5;2;4;2;5;5;2;4;4;2
09;4902;7;0;1;1;1;1;2;4;4;4;4;2;1;2;2;4;2;5;2;2;2;4;2;4;4;2;4;4;1;2;2;4
13;5612;9;1;0;0;0;0;4;5;2;2;4;2;1;4;2;2;4;4;2;4;4;2;3;2;4;2;3;2;1;2;1;4
