vaalipiiri;id;puolue;sukupuoli;toimin tällä hetkellä kansanedustajana;valittu;koulutus;vuositulot;suomessa on liian helppo elää sosiaaliturvan varassa;kaupan ja muiden liikkeiden aukioloajat on vapautettava;suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason;työntekijälle on turvattava lailla minimityöaika;ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää;euron ulkopuolella suomi pärjäisi paremmin;ruoan verotusta on varaa kiristää;valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja;lapsilisiä on korotettava ja laitettava verolle;suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin;nato-jäsenyys vahvistaisi suomen turvallisuuspoliittista asemaa;suomeen tarvitaan enemmän poliiseja;maahanmuuttoa suomeen on rajoitettava terrorismin uhan vuoksi;venäjän etupiiripolitiikka on uhka suomelle;verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja;suomen on osallistuttava isisin vastaiseen taisteluun kouluttamalla irakin hallituksen joukkoja;parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan;terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina;viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin;vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä;kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto;ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle;geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle;suomen pitää ottaa suurempi vastuu eu:n alueelle tulevista turvapaikanhakijoista;on aika luopua ajatuksesta, että koko suomi on pidettävä asuttuna;peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen
01;4315;2;1;0;0;1;1;1;1;1;5;1;1;2;2;1;1;1;4;1;1;2;4;5;5;5;2;5;4;2;5;2;2
01;5720;1;1;1;1;0;1;1;2;5;5;1;4;1;1;4;1;1;4;1;2;2;5;5;5;3;2;5;5;3;5;2;5
02;5047;1;1;0;0;0;0;1;2;5;5;1;4;1;1;2;1;1;4;1;2;1;4;4;5;4;1;4;5;2;5;4;4
08;4842;0;1;0;0;0;0;2;5;5;2;1;1;1;4;2;5;1;1;1;2;1;2;5;4;4;2;4;5;2;3;2;4
03;5520;1;1;0;0;0;0;1;4;5;5;1;2;1;4;1;1;1;4;1;3;3;4;5;5;4;1;4;5;1;2;4;5
01;6264;0;1;0;0;0;0;1;5;5;2;2;4;1;4;2;2;2;2;2;2;1;2;4;5;4;4;4;5;4;2;2;4
03;5782;9;0;0;0;1;0;2;5;2;2;4;1;2;5;2;2;4;2;2;4;3;3;1;2;4;2;4;2;4;2;2;2
06;5485;6;0;0;0;1;0;2;2;2;2;4;4;1;4;1;4;2;5;4;4;4;1;1;4;4;2;4;4;1;2;2;4
07;5996;2;1;0;0;1;0;4;2;2;4;1;4;1;4;4;2;1;2;2;2;4;1;4;4;4;2;4;4;2;1;2;2
07;5617;4;0;0;0;0;0;2;5;5;5;1;5;1;1;2;1;1;1;4;3;3;1;4;5;4;1;2;5;1;1;2;5
12;5282;6;0;0;0;1;0;2;2;2;4;1;2;1;4;1;4;2;4;2;4;1;4;1;4;4;2;4;4;1;2;1;5
03;4552;5;1;1;0;0;0;2;4;2;4;2;4;1;4;2;2;1;5;5;4;4;1;1;5;5;1;2;2;1;1;1;1
06;5653;4;1;0;0;0;0;4;5;5;5;1;5;1;1;4;1;1;5;4;1;2;1;4;5;4;2;3;2;1;1;1;4
07;4269;5;0;0;0;0;0;2;2;2;5;1;4;1;4;4;1;4;5;4;4;4;1;1;5;4;2;4;1;2;1;1;4
01;5698;0;0;0;0;0;0;1;2;4;5;1;5;1;1;4;1;1;1;1;2;3;1;5;5;5;2;4;5;3;5;2;5
03;4461;4;1;0;0;0;0;1;2;4;4;2;5;1;1;5;1;1;5;3;4;2;1;4;5;1;1;3;4;1;3;1;4
12;4848;0;1;0;0;0;0;1;5;5;1;4;2;1;2;4;2;1;2;1;2;1;4;5;4;2;4;2;2;4;2;4;2
13;5340;9;1;1;0;1;1;4;4;2;2;4;2;2;4;2;2;4;4;2;4;4;4;2;2;4;2;4;2;4;2;1;2
09;5615;3;1;0;0;1;0;2;4;4;4;2;2;1;4;3;2;2;4;2;4;2;1;4;4;4;3;4;4;2;4;2;4
01;5876;6;1;0;0;1;0;4;5;2;4;2;2;2;2;2;4;5;2;1;4;2;4;1;2;4;2;5;2;2;2;4;2
03;5042;6;1;0;0;1;0;2;1;4;2;1;4;1;4;4;2;2;3;4;4;4;4;1;5;5;3;4;3;2;2;2;1
10;4524;6;0;0;0;1;0;2;1;1;2;1;2;1;4;4;1;4;5;1;5;2;1;1;4;4;2;4;2;1;5;1;5
10;5266;1;1;0;0;0;0;2;2;1;5;1;3;1;1;4;3;1;4;2;3;4;4;4;5;3;2;4;3;2;2;1;5
08;5466;2;1;1;0;0;1;1;2;2;5;1;1;2;1;5;1;1;4;2;2;1;4;4;5;5;2;5;4;4;4;1;4
02;4577;2;1;0;0;0;0;4;4;1;5;1;2;1;2;2;2;1;4;2;1;3;1;4;5;5;1;5;5;1;2;1;5
03;5700;2;0;0;0;1;0;4;4;2;5;2;1;1;2;1;1;2;2;1;2;2;3;4;1;5;2;5;4;1;2;2;4
08;6020;6;0;0;0;1;0;5;2;4;2;2;4;1;5;2;5;1;4;2;2;2;2;1;2;4;1;5;4;1;4;1;2
02;4626;8;0;0;0;1;0;2;4;4;4;4;1;1;4;2;4;4;2;1;4;2;3;4;4;4;2;2;2;2;5;2;5
10;4496;2;1;0;0;1;0;2;2;1;5;1;1;1;4;4;2;1;4;2;4;2;1;4;5;4;2;4;2;2;2;2;4
13;5219;4;1;0;0;1;0;1;5;5;5;1;5;1;1;3;1;1;4;3;2;2;2;4;5;4;1;3;4;1;2;1;4
09;5827;9;0;0;0;0;0;4;5;4;2;4;2;1;5;1;5;4;4;1;2;2;2;4;2;2;2;4;4;2;4;2;4
02;5489;0;0;0;0;1;0;5;5;1;1;1;5;1;1;4;1;1;5;5;4;5;1;1;5;4;1;2;2;1;1;1;4
02;5542;7;0;0;1;1;1;5;5;5;2;5;1;1;5;1;4;5;4;1;2;2;5;3;4;4;2;4;1;2;4;2;1
10;4753;8;0;0;0;0;1;2;4;2;5;1;1;2;4;1;2;4;4;1;4;2;4;2;2;5;2;5;2;2;5;2;4
01;6179;8;0;0;1;0;1;2;2;1;2;2;1;1;2;1;2;2;4;1;4;2;2;5;4;5;1;5;4;2;5;2;4
05;4847;0;0;0;0;0;0;2;5;4;4;4;1;2;2;2;2;4;4;1;5;2;4;1;5;5;1;5;4;4;5;2;4
10;4382;8;0;0;0;1;0;2;1;4;2;2;2;1;4;2;4;4;4;1;4;4;4;2;4;4;2;4;2;1;5;1;2
02;4971;8;1;0;0;0;0;2;5;4;2;3;1;1;4;1;4;4;4;1;4;2;5;5;2;5;1;3;2;3;5;1;1
10;5119;8;0;0;0;1;0;4;5;5;2;3;1;1;5;1;2;5;3;1;2;4;5;5;4;4;1;2;2;1;5;1;1
02;5600;8;0;0;0;1;0;4;4;4;4;4;1;1;4;1;4;5;4;1;2;2;5;4;2;4;1;4;5;1;5;1;4
02;5672;8;1;1;1;0;1;2;4;1;4;4;2;1;4;2;2;4;4;2;4;4;5;3;4;4;2;4;4;2;4;2;4
09;5322;5;1;0;0;0;0;4;4;2;4;2;4;1;2;2;1;1;5;4;2;4;1;4;4;5;2;5;4;1;2;1;2
08;5064;1;0;0;0;1;0;1;2;5;5;1;1;1;1;1;1;1;2;1;1;2;1;5;5;5;1;5;5;1;2;1;5
02;4648;6;1;0;0;0;0;2;1;3;5;1;2;1;2;1;1;4;5;2;2;4;3;1;4;4;2;5;3;2;4;1;4
01;5393;8;0;0;0;1;0;2;5;2;2;4;1;2;4;3;4;1;4;1;4;2;4;5;4;4;2;4;5;2;5;4;2
11;5280;0;1;0;0;1;0;1;5;5;1;3;1;2;4;4;1;4;2;1;5;1;4;5;4;2;2;2;5;4;2;4;2
12;4921;8;1;0;0;0;0;1;5;5;5;1;1;1;1;5;1;1;5;1;5;1;1;5;5;5;1;1;5;1;5;1;5
02;4634;2;0;0;0;1;0;2;2;2;5;2;1;1;2;2;2;2;4;1;2;2;4;5;5;4;1;5;4;2;4;2;5
02;5920;2;1;0;0;1;0;2;2;2;2;2;2;2;2;2;4;2;4;1;4;1;2;2;5;2;1;5;1;4;2;4;2
02;4249;3;1;0;0;0;0;1;5;5;2;4;1;1;2;5;2;2;2;1;5;1;4;5;2;4;2;5;5;3;5;5;5
02;4966;4;1;0;0;0;0;1;4;5;3;1;5;1;4;1;1;2;4;5;5;2;1;5;5;4;1;4;2;3;1;1;4
08;5044;1;1;0;0;0;0;1;2;5;5;1;2;1;1;4;1;1;4;1;4;2;4;5;5;5;2;4;5;1;4;2;4
01;5095;6;0;0;0;1;0;4;2;1;2;4;2;4;4;4;4;2;4;2;4;4;4;1;4;5;2;4;4;1;4;1;5
01;5560;2;0;0;0;1;0;4;4;1;5;1;1;1;2;2;2;1;4;2;1;3;1;4;5;5;1;5;5;1;2;1;4
09;4526;6;1;0;0;1;0;2;1;1;2;2;2;1;2;2;4;4;5;1;4;2;4;1;5;4;2;4;4;4;4;1;2
02;5141;3;1;0;0;0;0;1;5;5;2;2;1;1;1;4;2;1;5;1;1;2;4;5;5;5;1;5;5;2;5;1;5
02;5211;1;1;0;0;0;0;1;2;5;5;1;4;1;1;2;1;1;4;1;2;2;2;5;5;5;1;4;5;1;5;1;5
02;4672;0;0;0;0;1;0;4;5;5;5;1;4;2;1;1;1;1;1;2;2;4;4;5;5;5;1;5;5;1;2;5;5
01;5382;8;0;0;0;1;1;4;4;2;2;5;1;4;2;1;4;4;2;1;4;4;4;4;1;5;2;5;2;1;4;4;4
09;4375;1;0;0;0;1;0;1;2;5;5;1;1;1;1;5;1;1;4;1;4;1;1;4;5;5;2;4;5;1;5;1;5
07;5128;4;1;0;0;1;0;1;4;3;5;1;5;1;4;1;2;1;5;4;1;1;1;2;5;4;2;4;1;1;1;1;4
02;5603;3;1;0;0;1;0;2;5;5;5;1;2;2;1;4;2;2;2;1;4;1;4;4;5;4;2;4;5;2;5;4;2
02;5902;6;0;0;0;1;0;2;2;1;2;4;2;1;2;2;5;2;4;2;2;4;4;1;2;2;4;2;2;1;4;1;2
01;4795;6;1;0;0;1;0;5;2;1;4;4;4;2;2;2;2;2;2;5;5;5;2;1;4;2;2;5;2;2;2;2;1
02;5085;9;1;0;0;1;0;5;5;5;1;5;1;1;5;1;5;5;5;1;5;5;4;5;1;5;4;5;1;4;1;5;2
02;5440;7;0;0;0;1;0;4;1;2;2;4;2;1;4;2;4;2;5;2;4;4;4;5;4;4;2;4;2;1;4;2;4
02;5886;1;1;0;0;0;0;1;1;4;5;1;4;1;1;1;1;1;4;1;1;1;1;4;5;4;1;2;4;1;2;2;4
08;4443;5;1;1;1;0;1;4;4;4;4;2;5;2;4;2;4;4;5;5;2;4;2;4;4;4;2;4;1;4;1;1;4
06;5247;7;1;0;0;1;1;2;5;4;4;4;2;1;4;4;4;1;4;2;4;2;2;4;4;2;2;4;4;2;4;2;1
09;4564;9;1;1;1;1;1;4;5;4;2;4;2;1;5;4;2;5;5;4;4;5;1;4;4;4;4;5;2;4;2;2;2
03;5380;7;0;0;0;1;0;2;2;4;2;4;2;1;4;2;2;1;4;2;4;2;4;3;5;4;4;5;3;2;2;2;2
01;4157;8;0;0;0;1;0;2;4;2;4;2;2;2;4;2;4;2;4;2;4;4;3;4;5;5;1;4;4;2;4;2;2
12;4287;1;1;0;0;0;0;2;4;4;4;2;4;1;1;4;1;1;4;2;2;2;2;2;4;4;2;2;4;2;2;2;2
02;5438;2;0;0;0;0;0;1;1;1;5;1;1;1;2;2;1;1;5;1;1;4;2;4;5;5;1;5;4;2;2;1;2
01;4929;8;1;0;0;0;0;2;4;5;2;2;1;1;2;2;2;4;2;1;2;2;4;2;4;4;1;4;4;5;5;4;4
13;4406;1;0;0;0;0;0;2;4;5;5;4;2;1;2;4;2;1;4;1;2;4;1;5;5;4;2;4;2;4;4;1;4
01;4385;5;1;0;0;1;0;2;5;1;5;2;4;1;2;2;2;1;5;5;1;4;2;4;5;5;1;4;1;4;1;2;4
01;5270;6;1;0;0;1;0;4;4;4;4;2;2;1;4;2;2;5;2;4;4;4;4;2;4;4;2;4;4;2;2;4;5
02;4171;8;1;0;0;0;0;1;5;2;4;4;2;1;4;1;2;2;5;1;4;3;4;4;4;4;2;2;4;3;4;1;2
01;5532;8;1;0;0;0;0;2;5;5;2;4;2;2;2;4;2;5;2;1;5;1;4;5;4;2;1;5;2;4;4;5;1
01;5454;6;1;0;0;0;0;4;2;4;2;4;2;2;4;4;1;3;5;4;4;4;4;1;4;4;4;5;4;2;2;2;5
02;4802;5;1;0;1;1;0;4;5;2;5;2;5;1;5;2;5;1;5;5;4;2;5;1;5;5;4;4;1;2;1;2;5
02;4584;3;0;0;0;1;0;2;2;5;2;4;2;4;2;2;2;2;4;2;4;4;4;4;4;5;2;5;5;2;5;2;4
03;4167;5;0;1;1;0;1;2;4;4;2;2;4;1;2;4;4;2;5;5;4;5;4;2;5;4;2;4;2;1;2;1;5
03;4887;2;0;1;1;1;1;1;1;1;5;1;1;1;2;4;1;1;4;1;2;5;4;5;5;5;1;5;4;1;2;4;4
07;4900;5;0;0;1;1;0;4;5;4;2;2;4;1;4;4;2;2;4;4;4;4;3;4;5;4;2;5;4;1;2;2;4
05;5147;0;1;0;0;0;0;1;2;2;1;2;1;2;4;5;2;4;3;1;4;4;3;4;5;5;2;2;5;3;4;1;5
02;4863;8;1;0;0;1;1;1;4;2;2;2;1;1;2;2;2;4;4;1;4;2;4;4;4;4;2;4;4;4;5;2;2
13;4775;4;1;0;0;0;0;2;4;4;2;1;5;1;1;4;1;1;4;5;2;1;1;4;5;4;4;3;2;1;1;1;4
12;5484;9;0;0;0;1;1;2;5;2;1;4;1;1;4;1;1;5;5;2;5;4;2;1;2;5;2;5;4;2;4;1;4
02;4803;9;1;0;0;1;0;4;5;4;1;4;2;4;4;2;4;5;2;1;4;2;4;4;2;4;4;5;4;4;2;4;2
02;4250;6;1;0;0;1;0;2;1;2;2;4;2;2;2;2;2;2;4;2;4;2;2;1;4;2;2;4;4;2;4;2;2
11;4736;0;1;0;0;1;0;1;5;5;2;3;2;1;4;4;2;4;3;1;4;1;3;5;4;2;3;4;4;5;3;4;2
01;4433;7;1;0;0;1;0;1;4;5;4;4;1;1;1;5;1;1;4;1;2;2;1;2;5;4;1;5;5;2;5;1;5
03;5497;4;0;0;0;0;0;1;4;5;5;4;5;1;1;4;1;1;5;4;1;2;1;5;5;5;4;2;5;1;1;1;5
09;4632;6;0;0;1;1;1;2;2;2;2;4;2;2;4;2;4;2;4;2;2;4;2;1;4;4;4;4;2;2;2;2;2
02;4314;0;1;0;0;0;0;5;5;4;2;5;5;4;5;3;2;4;2;5;5;1;4;5;4;3;2;5;2;2;1;3;4
04;4508;4;1;0;0;0;0;4;5;5;1;1;5;1;1;4;1;1;1;2;5;4;1;5;5;4;2;1;1;1;1;1;5
06;5083;6;0;0;0;1;0;4;4;2;2;4;2;1;4;1;1;5;4;2;4;4;4;1;4;4;4;5;2;2;2;1;4
02;4283;2;0;1;1;0;1;2;4;2;4;2;2;2;2;3;2;1;4;3;4;4;2;4;5;5;1;4;2;2;2;2;3
